recording_id,database,label,split,note
a0090,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0091,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0092,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0093,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0094,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0095,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0096,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0097,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0098,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0099,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0100,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0101,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0102,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0103,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0104,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0105,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0106,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0107,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0108,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0109,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0110,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0111,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0112,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0113,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0114,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0115,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0116,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0117,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0118,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0119,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0120,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0121,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0122,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0123,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0124,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0125,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0126,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0127,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0128,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0129,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0130,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0131,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0132,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0133,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0134,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0135,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0136,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0137,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0138,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0139,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0140,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0141,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0142,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0143,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0144,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0145,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0146,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0147,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0148,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0149,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0150,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0151,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0152,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0153,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0154,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0155,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0156,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0157,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0158,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0159,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0160,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0161,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0162,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0163,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0164,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0165,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0166,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0167,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0168,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0169,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0170,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0171,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0172,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0173,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0174,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0175,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0176,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0177,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0178,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0179,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0180,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0181,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0182,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0183,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0184,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0185,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0186,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0187,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0188,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0189,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0190,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0191,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0192,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0193,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0194,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0195,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0196,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0197,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0198,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0199,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0200,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0201,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0202,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0203,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0204,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0205,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0206,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0207,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0208,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0209,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0210,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0211,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0212,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0213,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0214,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0215,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0216,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0217,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0218,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0219,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0220,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0221,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0222,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0223,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0224,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0225,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0226,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0227,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0228,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0229,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0230,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0231,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0232,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0233,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0234,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0235,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0236,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0237,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0238,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0239,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0240,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0241,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0242,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0243,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0244,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0245,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0246,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0247,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0248,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0249,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0250,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0251,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0252,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0253,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0254,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0255,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0256,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0257,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0258,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0259,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0260,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0261,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0262,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0263,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0264,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0265,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0266,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0267,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0268,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0269,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0270,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0271,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0272,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0273,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0274,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0275,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0276,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0277,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0278,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0279,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0280,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0281,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0282,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0283,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0284,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0285,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0286,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0287,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0288,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0289,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0290,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0291,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0292,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0293,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0294,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0295,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0296,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0297,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0298,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0299,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0300,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0301,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0302,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0303,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0304,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0305,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0306,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0307,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0308,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0309,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0310,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0311,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0312,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0313,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0314,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0315,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0316,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0317,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0318,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0319,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0320,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0321,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0322,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0323,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0324,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0325,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0326,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0327,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0328,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0329,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0330,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0331,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0332,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0333,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0334,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0335,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0336,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0337,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0338,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0339,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0340,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0341,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0342,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0343,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0344,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0345,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0346,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0347,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0348,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0349,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0350,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0351,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0352,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0353,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0354,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0355,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0356,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0357,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0358,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0359,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0360,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0361,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0362,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0363,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0364,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0365,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0366,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0367,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
